Run started: 2026-03-01T21:49:24
Total params: 4,165,985 (15.89 MB)
Trainable params: 4,165,985 (15.89 MB)
Non-trainable params: 0 (0.00 B)
--------------------------------------------------------------------------------
Training setup | epochs=15 | optimizer=AdamW(lr=3e-4, weight_decay=1e-5)
step=33300 train_batch_loss=0.4036
step=33400 train_batch_loss=0.2809
step=33500 train_batch_loss=0.3492
step=33600 train_batch_loss=0.3198
step=33700 train_batch_loss=0.4024
step=33800 train_batch_loss=0.4005
step=33900 train_batch_loss=0.2669
step=34000 train_batch_loss=0.3487
step=34100 train_batch_loss=0.3053
step=34200 train_batch_loss=0.3395
step=34300 train_batch_loss=0.1781
step=34400 train_batch_loss=0.4628
step=34500 train_batch_loss=0.3687
step=34600 train_batch_loss=0.2354
step=34700 train_batch_loss=0.2285
step=34800 train_batch_loss=0.2204
step=34900 train_batch_loss=0.2398
step=35000 train_batch_loss=0.1892
step=35100 train_batch_loss=0.2557
step=35200 train_batch_loss=0.2381
step=35300 train_batch_loss=0.2151
step=35400 train_batch_loss=0.1746
step=35500 train_batch_loss=0.2836
step=35600 train_batch_loss=0.2435
step=35700 train_batch_loss=0.1756
step=35800 train_batch_loss=0.2317
step=35900 train_batch_loss=0.1367
step=36000 train_batch_loss=0.2609
step=36100 train_batch_loss=0.2580
step=36200 train_batch_loss=0.3021
step=36300 train_batch_loss=0.2680
step=36400 train_batch_loss=0.1872
step=36500 train_batch_loss=0.3495
step=36600 train_batch_loss=0.2512
step=36700 train_batch_loss=0.2335
step=36800 train_batch_loss=0.3076
step=36900 train_batch_loss=0.1593
step=37000 train_batch_loss=0.1984
step=37100 train_batch_loss=0.3143
step=37200 train_batch_loss=0.1220
step=37300 train_batch_loss=0.2263
step=37400 train_batch_loss=0.3762
step=37500 train_batch_loss=0.1676
step=37600 train_batch_loss=0.2100
step=37700 train_batch_loss=0.3251
step=37800 train_batch_loss=0.1462
step=37900 train_batch_loss=0.2305
step=38000 train_batch_loss=0.1844
step=38100 train_batch_loss=0.2037
step=38200 train_batch_loss=0.2208
step=38300 train_batch_loss=0.3558
step=38400 train_batch_loss=0.2747
step=38500 train_batch_loss=0.1814
step=38600 train_batch_loss=0.2554
step=38700 train_batch_loss=0.2188
step=38800 train_batch_loss=0.1442
step=38900 train_batch_loss=0.2476
step=39000 train_batch_loss=0.2051
step=39100 train_batch_loss=0.1995
step=39200 train_batch_loss=0.2582
step=39300 train_batch_loss=0.2159
step=39400 train_batch_loss=0.2555
step=39500 train_batch_loss=0.2302
step=39600 train_batch_loss=0.1577
step=39700 train_batch_loss=0.2707
step=39800 train_batch_loss=0.1355
step=39900 train_batch_loss=0.2243
step=40000 train_batch_loss=0.1726
step=40100 train_batch_loss=0.1778
step=40200 train_batch_loss=0.1659
step=40300 train_batch_loss=0.2196
step=40400 train_batch_loss=0.2813
step=40500 train_batch_loss=0.4919
step=40600 train_batch_loss=0.2278
step=40700 train_batch_loss=0.4232
step=40800 train_batch_loss=0.2690
step=40900 train_batch_loss=0.3305
step=41000 train_batch_loss=0.2970
step=41100 train_batch_loss=0.1909
step=41200 train_batch_loss=0.3515
step=41300 train_batch_loss=0.2088
step=41400 train_batch_loss=0.3107
step=41500 train_batch_loss=0.1633
step=41600 train_batch_loss=0.3062
step=41700 train_batch_loss=0.1505
step=41800 train_batch_loss=0.1726
step=41900 train_batch_loss=0.2560
step=42000 train_batch_loss=0.2944
step=42100 train_batch_loss=0.2376
step=42200 train_batch_loss=0.2530
step=42300 train_batch_loss=0.2318
step=42400 train_batch_loss=0.2404
step=42500 train_batch_loss=0.1866
step=42600 train_batch_loss=0.3249
step=42700 train_batch_loss=0.1699
step=42800 train_batch_loss=0.2059
step=42900 train_batch_loss=0.2811
step=43000 train_batch_loss=0.2248
step=43100 train_batch_loss=0.3329
step=43200 train_batch_loss=0.3682
step=43300 train_batch_loss=0.3471
step=43400 train_batch_loss=0.1713
step=43500 train_batch_loss=0.2518
step=43600 train_batch_loss=0.2100
step=43700 train_batch_loss=0.2345
step=43800 train_batch_loss=0.2398
step=43900 train_batch_loss=0.2998
step=44000 train_batch_loss=0.1648
step=44100 train_batch_loss=0.2320
step=44200 train_batch_loss=0.1467
step=44300 train_batch_loss=0.2364
step=44400 train_batch_loss=0.2436
step=44500 train_batch_loss=0.2390
step=44600 train_batch_loss=0.1579
step=44700 train_batch_loss=0.2878
step=44800 train_batch_loss=0.2972
step=44900 train_batch_loss=0.3546
step=45000 train_batch_loss=0.1350
step=45100 train_batch_loss=0.2395
step=45200 train_batch_loss=0.3333
